0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
9,2,50
10,Backspace,8
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,w,87
1,Backspace,8
2,q,81
3,w,87
4,e,69
5,r,82
6,t,84
7,y,89
8,1,49
9,2,50
10,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,1,49
7,2,50
8,3,51
0,q,81
1,w,87
2,e,69
3,r,82
4,t,84
5,y,89
6,2,50
7,1,49
8,Backspace,8
9,Backspace,8
10,1,49
11,2,50
12,3,51
